taskpool,user,date,value
taskpoola,alexanderb,1/5/2017,6.766666667
taskpoola,alexanderb,1/6/2017,2.25
taskpoola,alexanderb,1/7/2017,0
taskpoola,alexanderb,1/8/2017,2.25
taskpoola,alexanderb,1/9/2017,6.516666667
taskpoola,alexanderb,1/10/2017,3.066666667
taskpoola,alexanderb,1/11/2017,4.666666667
taskpoola,alexanderb,1/12/2017,6
taskpoola,alexanderb,1/13/2017,1.383333333
taskpoola,alexanderb,1/14/2017,0
taskpoola,alexanderb,1/15/2017,0
taskpoola,alexanderb,1/16/2017,6
taskpoola,alexanderb,1/17/2017,6
taskpoola,alexanderb,1/18/2017,6
taskpoola,alexanderb,1/19/2017,6
taskpoola,alexanderb,1/20/2017,6
taskpoola,alexanderb,1/21/2017,6
taskpoola,alexanderb,1/22/2017,6
taskpoola,alexanderb,1/23/2017,6
taskpoola,alexanderb,1/24/2017,6
taskpoola,alexanderb,1/25/2017,6
taskpoola,alexanderb,1/26/2017,6
taskpoola,alexanderb,1/27/2017,6
taskpoola,alexanderb,1/28/2017,6
taskpoola,alexanderb,1/29/2017,6
taskpoola,alexanderb,1/30/2017,6
taskpoola,alexanderb,1/31/2017,6
taskpoola,alexanderb,2/1/2017,6
taskpoola,alexanderb,2/2/2017,6
taskpoola,alexanderb,2/3/2017,6
taskpoola,alexanderb,2/4/2017,6
taskpoola,alexanderb,2/5/2017,0
taskpoola,alexanderb,2/6/2017,1.25
taskpoola,alexanderb,2/7/2017,4.35
taskpoola,alexanderb,2/8/2017,4.016666667
taskpoola,alexanderb,2/9/2017,6.116666667
taskpoola,alexanderb,2/10/2017,2.116666667
taskpoola,alexanderb,2/11/2017,0
taskpoola,alexanderb,2/12/2017,2
taskpoola,alexanderb,2/13/2017,4.883333333
taskpoola,alexanderb,2/14/2017,4.083333333
taskpoola,alexanderb,2/15/2017,6
taskpoola,alexanderb,2/16/2017,13.03333333
taskpoola,alexanderb,2/17/2017,0
taskpoola,alexanderb,2/18/2017,0
taskpoola,alexanderb,2/19/2017,0
taskpoola,alexanderb,2/20/2017,2.5
taskpoola,alexanderb,2/21/2017,4
taskpoola,alexanderb,2/22/2017,6.766666667
taskpoola,alexanderb,2/23/2017,8
taskpoola,alexanderb,2/24/2017,4
taskpoola,alexanderb,2/25/2017,0
taskpoola,alexanderb,2/26/2017,1.866666667
taskpoola,alexanderb,2/27/2017,6.683333333
taskpoola,alexanderb,2/28/2017,7.4
taskpoola,alexanderb,3/1/2017,4.1
taskpoola,alexanderb,3/2/2017,4.783333333
taskpoola,alexanderb,3/3/2017,6.033333333
taskpoola,alexanderb,3/4/2017,0
taskpoola,alexanderb,3/5/2017,3.316666667
taskpoola,alexanderb,3/6/2017,4.95
taskpoola,alexanderb,3/7/2017,4.816666667
taskpoola,alexanderb,3/8/2017,5.2
taskpoola,alexanderb,3/9/2017,5.366666667
taskpoola,alexanderb,3/10/2017,2.7
taskpoola,alexanderb,3/11/2017,0
taskpoola,alexanderb,3/12/2017,0
taskpoola,alexanderb,3/13/2017,6.545454545
taskpoola,alexanderb,3/14/2017,6.545454545
taskpoola,alexanderb,3/15/2017,6.545454545
taskpoola,alexanderb,3/16/2017,6.545454545
taskpoola,alexanderb,3/17/2017,6.545454545
taskpoola,alexanderb,3/18/2017,6.545454545
taskpoola,alexanderb,3/19/2017,6.545454545
taskpoola,alexanderb,3/20/2017,6.545454545
taskpoola,alexanderb,3/21/2017,6.545454545
taskpoola,alexanderb,3/22/2017,6.545454545
taskpoola,alexanderb,3/23/2017,6.545454545
taskpoola,alexanderb,3/24/2017,1.166666667
taskpoola,samb,1/1/2017,0
taskpoola,samb,1/2/2017,8
taskpoola,samb,1/3/2017,1.783333333
taskpoola,samb,1/4/2017,4.533333333
taskpoola,samb,1/5/2017,3.366666667
taskpoola,samb,1/6/2017,2
taskpoola,samb,1/7/2017,0
taskpoola,samb,1/8/2017,0.716666667
taskpoola,samb,1/9/2017,3.583333333
taskpoola,samb,1/10/2017,1.583333333
taskpoola,samb,1/11/2017,0.916666667
taskpoola,samb,1/12/2017,6.366666667
taskpoola,samb,1/13/2017,3
taskpoola,samb,1/14/2017,0
taskpoola,samb,1/15/2017,1.516666667
taskpoola,samb,1/16/2017,3.833333333
taskpoola,samb,1/17/2017,4.05
taskpoola,samb,1/18/2017,5.283333333
taskpoola,samb,1/19/2017,1.55
taskpoola,samb,1/20/2017,1.933333333
taskpoola,samb,1/21/2017,0
taskpoola,samb,1/22/2017,2.583333333
taskpoola,samb,1/23/2017,6.65
taskpoola,samb,1/24/2017,6.116666667
taskpoola,samb,1/25/2017,8.8
taskpoola,samb,1/26/2017,5.3
taskpoola,samb,1/27/2017,0.333333333
taskpoola,samb,1/28/2017,0
taskpoola,samb,1/29/2017,1.116666667
taskpoola,samb,1/30/2017,6.25
taskpoola,samb,1/31/2017,10.35
taskpoola,samb,2/1/2017,5.633333333
taskpoola,samb,2/2/2017,4.383333333
taskpoola,samb,2/3/2017,3.083333333
taskpoola,samb,2/4/2017,0
taskpoola,samb,2/5/2017,0
taskpoola,samb,2/6/2017,5.5
taskpoola,samb,2/7/2017,1.516666667
taskpoola,samb,2/8/2017,3.033333333
taskpoola,samb,2/9/2017,2.033333333
taskpoola,samb,2/10/2017,3.5
taskpoola,samb,2/11/2017,0
taskpoola,samb,2/12/2017,0.25
taskpoola,samb,2/13/2017,3.75
taskpoola,samb,2/14/2017,6.65
taskpoola,samb,2/15/2017,4.35
taskpoola,samb,2/16/2017,3.583333333
taskpoola,samb,2/17/2017,0.216666667
taskpoola,samb,2/18/2017,0
taskpoola,samb,2/19/2017,0
taskpoola,samb,2/20/2017,8
taskpoola,samb,2/21/2017,8
taskpoola,samb,2/22/2017,8
taskpoola,samb,2/23/2017,8
taskpoola,samb,2/24/2017,8
taskpoola,samb,2/25/2017,0
taskpoola,samb,2/26/2017,0
taskpoola,samb,2/27/2017,1
taskpoola,wouterv,1/1/2017,0
taskpoola,wouterv,1/2/2017,0.75
taskpoola,wouterv,1/3/2017,8
taskpoola,wouterv,1/4/2017,7.416666667
taskpoola,wouterv,1/5/2017,6.25
taskpoola,wouterv,1/6/2017,5.166666667
taskpoola,wouterv,1/7/2017,0
taskpoola,wouterv,1/8/2017,0
taskpoola,wouterv,1/9/2017,5.7
taskpoola,wouterv,1/10/2017,3.166666667
taskpoola,wouterv,1/11/2017,3.333333333
taskpoola,wouterv,1/12/2017,5.583333333
taskpoola,wouterv,1/13/2017,6.666666667
taskpoola,wouterv,1/14/2017,0
taskpoola,wouterv,1/15/2017,0
taskpoola,wouterv,1/16/2017,5.583333333
taskpoola,wouterv,1/17/2017,4.833333333
taskpoola,wouterv,1/18/2017,6
taskpoola,wouterv,1/19/2017,7.75
taskpoola,wouterv,1/20/2017,7.016666667
taskpoola,wouterv,1/21/2017,0
taskpoola,wouterv,1/22/2017,0
taskpoola,wouterv,1/23/2017,8
taskpoola,wouterv,1/24/2017,8
taskpoola,wouterv,1/25/2017,8
taskpoola,wouterv,1/26/2017,8
taskpoola,wouterv,1/27/2017,8
taskpoola,wouterv,1/28/2017,0
taskpoola,wouterv,1/29/2017,0
taskpoola,wouterv,1/30/2017,5.666666667
taskpoola,wouterv,1/31/2017,6.25
taskpoola,wouterv,2/1/2017,6.583333333
taskpoola,wouterv,2/2/2017,6.583333333
taskpoola,wouterv,2/3/2017,5.916666667
taskpoola,wouterv,2/4/2017,0
taskpoola,wouterv,2/5/2017,1.166666667
taskpoola,wouterv,2/6/2017,2
taskpoola,wouterv,2/7/2017,5.833333333
taskpoola,wouterv,2/8/2017,6.25
taskpoola,wouterv,2/9/2017,6
taskpoola,wouterv,2/10/2017,4.083333333
taskpoola,wouterv,2/11/2017,0.833333333
taskpoola,wouterv,2/12/2017,0
taskpoola,wouterv,2/13/2017,6.5
taskpoola,wouterv,2/14/2017,8.666666667
taskpoola,wouterv,2/15/2017,6.166666667
taskpoola,wouterv,2/16/2017,10.16666667
taskpoola,wouterv,2/17/2017,5.75
taskpoola,wouterv,2/18/2017,0
taskpoola,wouterv,2/19/2017,0
taskpoola,wouterv,2/20/2017,1.666666667
taskpoola,wouterv,2/21/2017,6.166666667
taskpoola,wouterv,2/22/2017,7.25
taskpoola,wouterv,2/23/2017,7.083333333
taskpoola,wouterv,2/24/2017,7.083333333
taskpoola,wouterv,2/25/2017,0
taskpoola,wouterv,2/26/2017,0.25
taskpoola,wouterv,2/27/2017,6.416666667
taskpoola,wouterv,2/28/2017,9.5
taskpoola,wouterv,3/1/2017,6.333333333
taskpoola,wouterv,3/2/2017,8
taskpoola,wouterv,3/3/2017,5.666666667
taskpoola,wouterv,3/4/2017,0
taskpoola,wouterv,3/5/2017,0.083333333
taskpoola,wouterv,3/6/2017,8.583333333
taskpoola,wouterv,3/7/2017,8.583333333
taskpoola,wouterv,3/8/2017,5.583333333
taskpoola,wouterv,3/9/2017,9.25
taskpoola,wouterv,3/10/2017,5.166666667
taskpoola,wouterv,3/11/2017,0.083333333
taskpoola,wouterv,3/12/2017,0
taskpoola,wouterv,3/13/2017,8.016666667
taskpoola,wouterv,3/14/2017,8.5
taskpoola,wouterv,3/15/2017,10.83333333
taskpoola,wouterv,3/16/2017,7.416666667
taskpoola,wouterv,3/17/2017,6.516666667
taskpoola,wouterv,3/18/2017,0
taskpoola,wouterv,3/19/2017,0
taskpoola,wouterv,3/20/2017,7.666666667
taskpoola,wouterv,3/21/2017,8.916666667
taskpoola,wouterv,3/22/2017,6.666666667
taskpoola,wouterv,3/23/2017,7.5
taskpoola,wouterv,3/24/2017,8.416666667
